SPECIES ,Q!,Q2,Q3 ,Q4,Q5,Q6 ,Q7,Q8,Q9 ,Q10 ,Q11 ,Q12 
A,0,0.99,4.52,19.8,27.49,23.74,21.16,15.4,2.95,6.36,20.16,16.65
B,0,0,0,0,3.01,7.3,8.53,11.76,23.13,25.61,22.09,32.01
C,0,0,0,0,0,0,0,5.59,22.26,23.17,30.06,25.67
D,0,23.15,19.16,5.54,3.91,1.52,0,5.74,3.47,1.76,2.26,1.81
E,0,0,1.75,5.23,6.72,17.34,19.32,6.88,3.36,0,0,0
F,0,0.99,0,0,0,0,0,0,18.43,19.48,14.06,3.9
G,0,2.12,5.66,1.48,0,0,14.57,18.39,2.72,0,0,0
H,2.41,3.94,0,0.8,2.33,3.05,6.45,5.89,3.47,5.29,4.52,5.44
I,33.95,7.75,0,0,0,0,0,0,0,0,0,0
J,2.41,7.22,6.18,5.94,6.72,9.53,1.61,0,0,0,0,0
K,2.41,8.36,6.15,7.41,8.5,4.96,0,0,0,0,0,0
L,0,5.39,10.85,5.92,0,2.34,5.95,6.26,0,0,0,0
M,2.74,11.48,6.57,4.57,8.09,1.52,0,0,0,0,0,0
N,0,3.11,13.9,10.02,4.38,3.32,0,0,0,0,0,0
O,0,2.73,1.65,2.54,6.16,3.05,0,0,0,5.39,4.6,3.63
P,0,0,0,0.8,1.17,5.51,5.07,1.66,1.68,3.62,0,5.44
Q,22.06,1.14,0,0,0,0,0,0,0,0,0,0
R,17.93,3.72,0.83,0,0,0,0,0,0,0,0,0
S,2.41,5.16,3.41,4.56,2.33,1.52,0,0,0,0,0,0
T,0,2.43,7.6,5.79,1.37,0,0,0,0,0,0,0
U,0,0,0,3.23,4.32,0,1.61,4.08,3.94,0,0,0
V,13.68,2.28,0.83,0,0,0,0,0,0,0,0,0
W,0,0,0,0,1.78,3.44,3.64,3.18,0,0,0,0
X,0,0.99,0.83,4.03,1.78,0,0,1.66,2.72,0,0,0
Y,0,0,0,1.61,0,0,0,1.66,3.36,0,2.26,1.81
Z,0,0.99,0,0,2.33,0,1.8,0,1.68,2.25,0,0
AA,0,0,0,0,0,3.98,0,3.13,0,1.76,0,0
BB,0,0,0,0,0,1.8,2.17,4.08,0,0,0,0
CC,0,0.99,2.48,1.21,1.78,1.52,0,0,0,0,0,0
DD,0,0.99,2.48,1.61,1.17,0,0,0,0,0,0,0
EE,0,0.99,0.83,2.41,0,0,0,0,0,0,0,1.81
FF,0,0.99,0,0,0,0,0,3.18,1.68,0,0,0
GG,0,0,1.75,2.15,0,0,0,0,1.68,0,0,0
HH,0,0,0,0.8,0,3.05,1.61,0,0,0,0,0
II,0,0,0,0,0,0,4.89,0,0,0,0,0
JJ,0,0,0,0,0,0,0,0,1.68,1.76,0,0
KK,0,0,0.83,0.8,0,0,1.61,0,0,0,0,0
LL,0,0,0,0,0,0,0,1.47,0,1.76,0,0
MM,0,0,0,0,1.17,1.52,0,0,0,0,0,0
NN,0,0,0,0,0,0,0,0,0,0,0,1.81
OO,0,0,0,0,0,0,0,0,1.79,0,0,0
PP,0,0,0.83,0.94,0,0,0,0,0,0,0,0
QQ,0,0,0,0,0,0,0,0,0,1.76,0,0
RR,0,0,0,0,1.17,0,0,0,0,0,0,0
SS,0,0,0,0,1.17,0,0,0,0,0,0,0
TT,0,0,0,0,1.17,0,0,0,0,0,0,0
UU,0,1.14,0,0,0,0,0,0,0,0,0,0
VV,0,0.99,0,0,0,0,0,0,0,0,0,0
WW,0,0,0.93,0,0,0,0,0,0,0,0,0
XX,0,0,0,0.8,0,0,0,0,0,0,0,0
