GROUP,LONGEVITY
PREG8,35
PREG8,37
PREG8,49
PREG8,46
PREG8,63
PREG8,39
PREG8,46
PREG8,56
PREG8,63
PREG8,65
PREG8,56
PREG8,65
PREG8,70
PREG8,63
PREG8,65
PREG8,70
PREG8,77
PREG8,81
PREG8,86
PREG8,70
PREG8,70
PREG8,77
PREG8,77
PREG8,81
PREG8,77
NONE0,40
NONE0,37
NONE0,44
NONE0,47
NONE0,47
NONE0,47
NONE0,68
NONE0,47
NONE0,54
NONE0,61
NONE0,71
NONE0,75
NONE0,89
NONE0,58
NONE0,59
NONE0,62
NONE0,79
NONE0,96
NONE0,58
NONE0,62
NONE0,70
NONE0,72
NONE0,75
NONE0,96
NONE0,75
PREG1,46
PREG1,42
PREG1,65
PREG1,46
PREG1,58
PREG1,42
PREG1,48
PREG1,58
PREG1,50
PREG1,80
PREG1,63
PREG1,65
PREG1,70
PREG1,70
PREG1,72
PREG1,97
PREG1,46
PREG1,56
PREG1,70
PREG1,70
PREG1,72
PREG1,76
PREG1,90
PREG1,76
PREG1,92
VIRGIN1,21
VIRGIN1,40
VIRGIN1,44
VIRGIN1,54
VIRGIN1,36
VIRGIN1,40
VIRGIN1,56
VIRGIN1,60
VIRGIN1,48
VIRGIN1,53
VIRGIN1,60
VIRGIN1,60
VIRGIN1,65
VIRGIN1,68
VIRGIN1,60
VIRGIN1,81
VIRGIN1,81
VIRGIN1,48
VIRGIN1,48
VIRGIN1,56
VIRGIN1,68
VIRGIN1,75
VIRGIN1,81
VIRGIN1,48
VIRGIN1,68
VIRGIN8,16
VIRGIN8,19
VIRGIN8,19
VIRGIN8,32
VIRGIN8,33
VIRGIN8,33
VIRGIN8,30
VIRGIN8,42
VIRGIN8,42
VIRGIN8,33
VIRGIN8,26
VIRGIN8,30
VIRGIN8,40
VIRGIN8,54
VIRGIN8,34
VIRGIN8,34
VIRGIN8,47
VIRGIN8,47
VIRGIN8,42
VIRGIN8,47
VIRGIN8,54
VIRGIN8,54
VIRGIN8,56
VIRGIN8,60
VIRGIN8,44
