SITE,HABITAT,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8
 1,A, 4, 0, 0,36,28,24,99,68
 2,B,92,84, 0, 8, 0, 0,84, 4
 3,A, 9, 0, 0,52, 4,40,96,68
 4,A,52, 0, 0,52,12,28,96,24
 5,C,99, 0,36,88,52, 8,72, 0
 6,A,12, 0, 0,20,40,40,88,68
 7,C,72, 0,20,72,24,20,72, 8
 8,C,80, 0, 0,48,16,28,92, 8
 9,B,80,76, 4, 8,12, 0,84, 0
10,C,92, 0,40,72,36,12,84, 0
11,A,28, 4, 0,16,56,28,96,56
12,A, 8, 0, 0,36,68, 8,99,28
13,C,99,12, 4,84,36,12,88, 8
14,A,40, 0, 0,68,12, 8,88,24
15,A,28, 0, 0,36,64,28,99,56
16,A,28, 0, 0,28,44,20,88,32
17,C,80, 0, 0,52,20,32,96,20
18,C,84, 0, 0,76,44,16,96, 0
19,B,88,40,12, 8,24, 8,92, 0
20,C,99, 0,60,88,28, 0,80, 0
21,A,12, 0, 0,36,16,12,88,76
22,A, 0, 0, 0,20, 8, 0,99,60
23,C,88, 0,12,72,32,16,88, 0
24,C,56, 0, 4,32,56, 4,96,16
25,C,99, 0,40,60,20, 4,56, 4
26,A,12, 0, 0,28, 4, 4,99,72
27,A,28, 0, 0,48,64, 4,99,28
28,B,92,52, 0,40,64, 8,96, 4
29,C,80, 0, 0,68,40,12,80, 8
30,A,32, 0, 0,56,28,36,84,24
31,A,40, 0, 0,60, 8,36,96,56
32,A,44, 0, 0,44, 8,20,96,24
33,A,48, 0, 0,72,20,12,99,32
34,A,48, 0, 0, 8,44, 8,92,56
35,B,99,36,20,56, 8, 4,24, 0
36,A,15, 0, 4,36, 4,28,99,44
37,A, 8, 0, 0,20,16,12,99,56
38,A,28, 0, 0,24,16,12,99,36
39,A,52, 0, 0,48,12,28,99,32
40,C,92, 0, 4,56,12,16,70, 4
41,C,92, 0, 8,52,56, 8,99, 4
42,A, 4, 0, 0,44,24, 4,99,60
43,A,16, 0, 0,36, 0,24,99,76
44,A,76, 0, 0,48,12,36,96,32
45,B,96,36, 4,28,28, 8,88, 4
